host_location,host_response_time,host_is_superhost,host_neighbourhood,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,property_type,accommodates,bedrooms,amenities,price,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,amenities_count
"Bangkok, Thailand",within an hour,t,other,85.0,t,Phra Khanong,Entire rental unit,3,1.0,"[""TV"", ""Hangers"", ""Hot water"", ""Wifi"", ""Lockbox"", ""Elevator"", ""Washer"", ""Hair dryer"", ""Self check-in"", ""Shampoo"", ""Essentials"", ""Smoke alarm"", ""Iron"", ""Air conditioning"", ""Kitchen""]",921.0,45,4.84,4.84,4.8,4.82,4.91,4.93,4.71,2.18,15
"Bangkok, Thailand",within an hour,t,other,4.0,t,Khlong Toei,Entire rental unit,5,2.0,"[""Bathtub"", ""Dining table"", ""Luggage dropoff allowed"", ""Refrigerator"", ""Shower gel"", ""Body soap"", ""Elevator"", ""Washer"", ""Mosquito net"", ""Patio or balcony"", ""Outdoor furniture"", ""Laundromat nearby"", ""Children\u2019s books and toys"", ""Smoke alarm"", ""Fire extinguisher"", ""Drying rack for clothing"", ""Iron"", ""Cleaning products"", ""Room-darkening shades"", ""Bed linens"", ""Air conditioning"", ""Private entrance"", ""BBQ grill"", ""Hot water"", ""Barbecue utensils"", ""Wifi"", ""Conditioner"", ""Dedicated workspace"", ""Hair dryer"", ""Fire pit"", ""Shampoo"", ""Exercise equipment"", ""Microwave"", ""Extra pillows and blankets"", ""Exterior security cameras on property"", ""Dishes and silverware"", ""Dryer"", ""Outdoor dining area"", ""Self check-in"", ""Window guards"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Freezer"", ""Outdoor kitchen"", ""High chair"", ""Hangers"", ""Dishwasher"", ""Ethernet connection"", ""Hot water kettle"", ""Clothing storage"", ""Safe"", ""Building staff"", ""Pool"", ""Cooking basics"", ""TV with standard cable"", ""Wine glasses"", ""Essentials"", ""Rice maker"", ""Coffee maker"", ""Table corner guards"", ""First aid kit"", ""Kitchen""]",2794.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.05,63
"Bangkok, Thailand",within an hour,t,Upper Sukhumvit,57.0,t,Vadhana,Entire rental unit,2,1.0,"[""Dining table"", ""Window AC unit"", ""Electric stove"", "". conditioner"", ""Shower gel"", ""Elevator"", ""Host greets you"", ""Outdoor furniture"", ""Patio or balcony"", ""Paid dryer \u2013 In building"", ""Shared backyard \u2013 Fully fenced"", ""Bidet"", ""Laundromat nearby"", ""Shared outdoor pool - available all year, open specific hours"", ""Smoke alarm"", ""Fire extinguisher"", ""Drying rack for clothing"", ""Iron"", ""Cleaning products"", ""Room-darkening shades"", ""Bed linens"", ""Sun loungers"", "". refrigerator"", ""Hot water"", ""Portable fans"", ""Paid washer \u2013 In building"", ""Wifi"", ""Toaster"", ""Dedicated workspace"", ""Hair dryer"", "". shampoo"", ""Exercise equipment"", ""Clothing storage: wardrobe"", ""Microwave"", ""Oven"", ""Extra pillows and blankets"", ""Dishes and silverware"", "". body soap"", ""Coffee maker: drip coffee maker"", ""Paid parking on premises"", ""Pool view"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Freezer"", ""TV"", ""Hangers"", ""Shared gym in building"", ""Hot water kettle"", ""Cooking basics"", ""Wine glasses"", ""Essentials"", ""Rice maker"", ""First aid kit"", ""Kitchen""]",1060.0,11,4.82,4.64,4.64,4.91,5.0,5.0,4.82,0.56,55
"Khan Na Yao, Thailand",within a day,f,other,2.0,t,Khan Na Yao,Private room in rental unit,2,1.0,"[""Exterior security cameras on property"", ""Hangers"", ""Shared gym in building"", ""Toaster"", ""Fire extinguisher"", ""Host greets you"", ""Hot water kettle"", ""Long term stays allowed"", ""Hair dryer"", ""Freezer"", ""Smoke alarm"", ""Exercise equipment"", ""Iron"", ""Microwave"", ""Air conditioning"", ""Free parking on premises"", ""Kitchen""]",1600.0,1,5.0,4.0,4.0,4.0,5.0,4.0,5.0,0.07,17
unknown,within an hour,f,other,61.0,t,Bang Kapi,Entire rental unit,4,2.0,"[""Stove"", ""Refrigerator"", ""Elevator"", ""Washer"", ""Fire extinguisher"", ""Smoke alarm"", ""Air conditioning"", ""Hot water"", ""Wifi"", ""Hair dryer"", ""Shampoo"", ""Microwave"", ""Exterior security cameras on property"", ""Dishes and silverware"", ""Gym"", ""TV"", ""Hangers"", ""Hot water kettle"", ""Pool"", ""Essentials"", ""Kitchen""]",983.0,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.1,21
"Bangkok, Thailand",within an hour,t,other,1.0,t,Bangkok Yai,Private room in rental unit,2,1.0,"[""Window AC unit"", ""Refrigerator"", ""Shower gel"", ""Body soap"", ""Elevator"", ""Outdoor shower"", ""Outdoor furniture"", ""Bidet"", ""Laundromat nearby"", ""EV charger"", ""Smoke alarm"", ""Fire extinguisher"", ""Drying rack for clothing"", ""Iron"", ""Cleaning products"", ""Room-darkening shades"", ""Bed linens"", ""Paid parking lot off premises"", ""Hot water"", ""Wifi"", ""City skyline view"", ""Conditioner"", ""Lockbox"", ""Dedicated workspace"", ""Shared patio or balcony"", ""Hair dryer"", ""Shampoo"", ""Free washer \u2013 In unit"", ""Clothing storage: wardrobe"", ""Exercise equipment"", ""Microwave"", ""Dishes and silverware"", ""Induction stove"", ""Ceiling fan"", ""Pool view"", ""Private living room"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""TV"", ""Hangers"", ""Shared outdoor pool - available all year, open specific hours, rooftop"", ""Shared gym in building"", ""Children's playroom"", ""Lock on bedroom door"", ""Cooking basics"", ""Essentials"", ""Self check-in"", ""Kitchen""]",999.0,18,4.94,4.89,4.78,4.89,4.94,4.61,4.89,1.0,51
"Bangkok, Thailand",within an hour,f,other,11.0,t,Saphan Sung,Entire rental unit,2,1.0,"[""Shared gym"", ""Refrigerator"", ""Shower gel"", ""Elevator"", ""Air conditioning"", ""Hot water"", ""Conditioner"", ""Hair dryer"", ""Shampoo"", ""Exercise equipment"", ""Free washer \u2013 In unit"", ""Microwave"", ""Dishes and silverware"", ""Free parking on premises"", ""TV"", ""Pool"", ""Cooking basics"", ""Essentials"", ""Ping pong table"", ""Kitchen""]",702.0,0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20
"Bangkok, Thailand",within an hour,f,other,11.0,t,Saphan Sung,Entire rental unit,2,1.0,"[""Shared gym"", ""Refrigerator"", ""Shower gel"", ""Elevator"", ""Air conditioning"", ""Hot water"", ""Conditioner"", ""Hair dryer"", ""Shampoo"", ""Exercise equipment"", ""Microwave"", ""Dishes and silverware"", ""Free parking on premises"", ""TV"", ""Hangers"", ""Pool"", ""Cooking basics"", ""Essentials"", ""Ping pong table"", ""Kitchen""]",663.0,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.1,20
"Bangkok, Thailand",within an hour,t,Bangkok Yai,16.0,t,Bangkok Yai,Private room in home,3,1.0,"[""Dining table"", ""Luggage dropoff allowed"", ""Refrigerator"", ""Shower gel"", ""Body soap"", ""Washer"", ""Mosquito net"", ""Patio or balcony"", ""Outdoor furniture"", ""Drying rack for clothing"", ""Iron"", ""Air conditioning"", ""Room-darkening shades"", ""Bed linens"", ""Hot water"", ""Wifi"", ""Dedicated workspace"", ""Hair dryer"", ""Shampoo"", ""Microwave"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""Backyard"", ""Board games"", ""Outdoor dining area"", ""Ceiling fan"", ""Long term stays allowed"", ""TV"", ""Hangers"", ""Mini fridge"", ""Hot water kettle"", ""Clothing storage"", ""Lock on bedroom door"", ""Building staff"", ""Books and reading material"", ""Wine glasses"", ""Essentials"", ""Self check-in"", ""First aid kit""]",1076.0,64,4.98,4.98,4.98,4.92,4.97,4.84,4.94,3.04,39
"Bangkok, Thailand",within an hour,t,other,38.0,t,Vadhana,Entire rental unit,2,1.0,"[""TV"", ""Wifi"", ""Fire extinguisher"", ""Pool table"", ""Outdoor shower"", ""Washer"", ""Dedicated workspace"", ""Hair dryer"", ""Pool"", ""Cooking basics"", ""Smoke alarm"", ""Exercise equipment"", ""Iron"", ""Air conditioning"", ""Kitchen""]",2086.0,39,4.97,4.97,4.95,4.9,4.92,4.92,4.82,2.03,15
"Bangkok, Thailand",within an hour,f,other,11.0,t,Saphan Sung,Entire rental unit,2,1.0,"[""Shared gym"", ""Refrigerator"", ""Shower gel"", ""Elevator"", ""Washer"", ""Shared pool"", ""Air conditioning"", ""Hot water"", ""Conditioner"", ""Dedicated workspace"", ""Shampoo"", ""Exercise equipment"", ""Microwave"", ""Dishes and silverware"", ""Free parking on premises"", ""TV"", ""Hangers"", ""Cooking basics"", ""Essentials"", ""Ping pong table"", ""Kitchen""]",630.0,0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,21
"Bangkok, Thailand",within an hour,f,other,1.0,t,Phra Nakhon,Private room in home,2,3.0,"[""Dining table"", ""Stove"", ""Refrigerator"", ""Shower gel"", ""Body soap"", ""Smart lock"", ""Washer"", ""Smoke alarm"", ""Air conditioning"", ""Bed linens"", ""Hot water"", ""Wifi"", ""Conditioner"", ""Toaster"", ""Hair dryer"", ""Shampoo"", ""Microwave"", ""Extra pillows and blankets"", ""Exterior security cameras on property"", ""Dishes and silverware"", ""Freezer"", ""TV"", ""Hangers"", ""Hot water kettle"", ""Clothing storage"", ""Cooking basics"", ""Wine glasses"", ""Self check-in"", ""Kitchen""]",2287.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,29
"Bangkok, Thailand",within an hour,t,other,24.0,t,Huai Khwang,Entire rental unit,2,0.0,"[""Dining table"", ""Refrigerator"", ""Shower gel"", ""Elevator"", ""Bidet"", ""Fire extinguisher"", ""Smoke alarm"", ""Drying rack for clothing"", ""Iron"", ""Cleaning products"", ""Air conditioning"", ""Room-darkening shades"", ""Bed linens"", ""Private entrance"", ""Hot water"", ""Portable fans"", ""Wifi"", ""Hair dryer"", ""Shampoo"", ""Free washer \u2013 In unit"", ""Microwave"", ""Kitchenette"", ""Dishes and silverware"", ""Keypad"", ""Long term stays allowed"", ""Free parking on premises"", ""TV"", ""Hangers"", ""Hot water kettle"", ""Clothing storage"", ""Essentials"", ""Self check-in""]",957.0,27,4.96,4.93,4.96,4.96,5.0,4.7,4.96,1.3,32
"Bangkok, Thailand",a few days or more,f,other,6.0,t,Phra Khanong,Room in hotel,2,1.0,"[""Exterior security cameras on property"", ""Wifi"", ""Air conditioning"", ""Free parking on premises""]",761.0,0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4
unknown,within an hour,f,Moo 1,154.0,t,Bang Phlat,Private room in rental unit,3,1.0,"[""Luggage dropoff allowed"", ""Dryer \u2013 In building"", ""Washer"", ""Pets allowed"", ""Fire extinguisher"", ""Smoke alarm"", ""Air conditioning"", ""Hot water"", ""Wifi"", ""Dedicated workspace"", ""Hair dryer"", ""Shampoo"", ""Exterior security cameras on property"", ""Long term stays allowed"", ""Free parking on premises"", ""TV"", ""Hangers"", ""Lock on bedroom door"", ""Essentials"", ""First aid kit"", ""Kitchen""]",600.0,1,5.0,5.0,4.0,5.0,5.0,5.0,5.0,0.37,21
"Bang Kruai, Thailand",within an hour,,other,2.0,t,Bangkok Noi,Entire home,4,2.0,"[""Dining table"", ""Refrigerator"", ""Shower gel"", ""Body soap"", ""Outdoor furniture"", ""Bidet"", ""Laundromat nearby"", ""Drying rack for clothing"", ""Cleaning products"", ""Private patio or balcony"", ""Room-darkening shades"", ""Bed linens"", ""Cleaning available during stay"", ""Hot water"", ""Wifi"", ""Conditioner"", ""Lockbox"", ""Dedicated workspace"", ""Hair dryer"", ""Shampoo"", ""Free street parking"", ""Free washer \u2013 In unit"", ""Microwave"", ""Extra pillows and blankets"", ""Exterior security cameras on property"", ""Dishes and silverware"", ""Backyard"", ""Coffee"", ""Induction stove"", ""Outdoor dining area"", ""Self check-in"", ""Essentials"", ""Ceiling fan"", ""Window guards"", ""Long term stays allowed"", ""Free parking on premises"", ""Freezer"", ""Hangers"", ""Mini fridge"", ""Ethernet connection"", ""Hot water kettle"", ""Cooking basics"", ""AC - split type ductless system"", ""40 inch HDTV with premium cable"", ""Coffee maker"", ""Kitchen""]",2150.0,6,4.67,4.83,4.67,4.67,4.83,4.17,4.17,0.31,46
unknown,within an hour,t,Bang Kapi,23.0,t,Bang Kapi,Entire rental unit,2,1.0,"[""Exterior security cameras on property"", ""TV"", ""Wifi"", ""Lockbox"", ""Washer"", ""Self check-in"", ""Pool"", ""Smoke alarm"", ""Exercise equipment"", ""Air conditioning"", ""Free parking on premises"", ""Kitchen""]",620.0,56,4.82,4.84,4.63,4.86,4.84,4.73,4.75,2.71,12
unknown,a few days or more,f,other,8.0,t,Khlong Toei,Room in hotel,2,1.0,"[""Outdoor furniture"", ""Fire extinguisher"", ""Smoke alarm"", ""BBQ grill"", ""Iron"", ""Air conditioning"", ""Hot water"", ""Wifi"", ""Dedicated workspace"", ""Hair dryer"", ""Shampoo"", ""Exterior security cameras on property"", ""Dryer"", ""Outdoor dining area"", ""Long term stays allowed"", ""Free parking on premises"", ""TV"", ""Hangers"", ""Smoking allowed"", ""Essentials"", ""First aid kit""]",4768.0,1,4.0,5.0,4.0,5.0,5.0,4.0,5.0,0.05,21
"Bangkok, Thailand",within an hour,t,other,3.0,t,Vadhana,Entire rental unit,3,1.0,"[""Dining table"", ""Luggage dropoff allowed"", ""Refrigerator"", ""Body soap"", ""Elevator"", ""Gym in building"", ""Smart lock"", ""Washer"", ""Bidet"", ""Smoke alarm"", ""Drying rack for clothing"", ""Iron"", ""Air conditioning"", ""Room-darkening shades"", ""Private patio or balcony"", ""Shared pool"", ""Cleaning available during stay"", ""Hot water"", ""Conditioner"", ""Fast wifi \u2013 86 Mbps"", ""Dedicated workspace"", ""Hair dryer"", ""Shampoo"", ""Free street parking"", ""Microwave"", ""Dishes and silverware"", ""Induction stove"", ""Paid parking on premises"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Freezer"", ""TV"", ""Hangers"", ""Hot water kettle"", ""Cooking basics"", ""Essentials"", ""Self check-in"", ""Clothing storage: closet and dresser"", ""Kitchen""]",1179.0,37,4.7,4.73,4.62,4.7,4.84,4.81,4.73,1.81,40
"Bangkok, Thailand",within an hour,f,other,11.0,t,Saphan Sung,Entire rental unit,2,1.0,"[""Refrigerator"", ""Shower gel"", ""Elevator"", ""Air conditioning"", ""Hot water"", ""Shampoo"", ""Exercise equipment"", ""Free washer \u2013 In unit"", ""Microwave"", ""Dishes and silverware"", ""Free parking on premises"", ""TV"", ""Hangers"", ""Shared gym in building"", ""Pool"", ""Cooking basics"", ""Essentials"", ""Ping pong table"", ""Kitchen""]",663.0,2,4.5,4.0,4.0,4.5,5.0,3.5,4.5,0.14,19
"Bangkok, Thailand",within an hour,t,Lower Sukhumvit,69.0,t,Khlong Toei,Entire rental unit,4,2.0,"[""Bathtub"", ""Dining table"", ""Paid parking garage off premises"", ""Refrigerator"", ""Shower gel"", ""Elevator"", ""Washer"", ""Patio or balcony"", ""Fire extinguisher"", ""Smoke alarm"", ""Iron"", ""Private entrance"", ""Air conditioning"", ""Room-darkening shades"", ""Hot water"", ""Resort access"", ""Wifi"", ""Lockbox"", ""Dedicated workspace"", ""Hair dryer"", ""Shampoo"", ""Exercise equipment"", ""Microwave"", ""Dishes and silverware"", ""Gym"", ""Induction stove"", ""Paid parking on premises"", ""Clothing storage: closet"", ""Carbon monoxide alarm"", ""TV"", ""Hangers"", ""Hot water kettle"", ""Pool"", ""Essentials"", ""Self check-in"", ""Kitchen""]",2961.0,91,4.77,4.8,4.63,4.92,4.96,4.78,4.7,4.45,36
unknown,within a day,f,Moo 7,797.0,t,Khlong Toei,Entire rental unit,2,1.0,"[""TV"", ""Refrigerator"", ""Wifi"", ""Hair dryer"", ""Safe"", ""Clothing storage"", ""Essentials"", ""Carbon monoxide alarm"", ""Iron"", ""Cleaning products"", ""Air conditioning"", ""Bed linens""]",1750.0,0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12
unknown,within a day,f,Moo 7,797.0,t,Khlong Toei,Entire rental unit,2,1.0,"[""TV"", ""Refrigerator"", ""Wifi"", ""Hair dryer"", ""Safe"", ""Clothing storage"", ""Essentials"", ""Carbon monoxide alarm"", ""Iron"", ""Cleaning products"", ""Air conditioning"", ""Bed linens""]",2000.0,0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12
unknown,within a day,f,Moo 7,797.0,t,Khlong Toei,Entire rental unit,2,1.0,"[""TV"", ""Refrigerator"", ""Wifi"", ""Hair dryer"", ""Safe"", ""Clothing storage"", ""Essentials"", ""Carbon monoxide alarm"", ""Iron"", ""Cleaning products"", ""Air conditioning"", ""Bed linens""]",2000.0,0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12
unknown,within a day,f,Moo 7,797.0,t,Khlong Toei,Entire rental unit,2,1.0,"[""TV"", ""Refrigerator"", ""Wifi"", ""Hair dryer"", ""Safe"", ""Clothing storage"", ""Essentials"", ""Carbon monoxide alarm"", ""Iron"", ""Cleaning products"", ""Air conditioning"", ""Bed linens""]",1875.0,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.05,12
unknown,within a day,f,Moo 7,797.0,t,Khlong Toei,Entire rental unit,2,1.0,"[""TV"", ""Refrigerator"", ""Wifi"", ""Hair dryer"", ""Safe"", ""Clothing storage"", ""Essentials"", ""Carbon monoxide alarm"", ""Iron"", ""Cleaning products"", ""Air conditioning"", ""Bed linens""]",1875.0,0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12
"Bangkok, Thailand",within a few hours,f,Din Daeng/Huai Khwang,4.0,t,Suanluang,Private room in condo,2,0.0,"[""Stove"", ""Refrigerator"", ""Shower gel"", ""Elevator"", ""Washer"", ""Patio or balcony"", ""Fire extinguisher"", ""Smoke alarm"", ""Cleaning products"", ""Air conditioning"", ""Hot water"", ""Wifi"", ""Dedicated workspace"", ""Hair dryer"", ""Shampoo"", ""Exercise equipment"", ""Microwave"", ""Backyard"", ""Exterior security cameras on property"", ""Dishes and silverware"", ""Gym"", ""Pool table"", ""TV"", ""Hot water kettle"", ""Pool"", ""Cooking basics"", ""Essentials"", ""First aid kit"", ""Kitchen""]",800.0,9,5.0,5.0,5.0,5.0,5.0,4.89,5.0,0.48,29
"Bangkok, Thailand",N/A,f,other,2.0,t,Lat Phrao,Private room in home,2,1.0,"[""Exterior security cameras on property"", ""Wifi"", ""Outdoor shower"", ""Lock on bedroom door"", ""Outdoor dining area"", ""Pool"", ""Fire extinguisher"", ""First aid kit"", ""Air conditioning"", ""Free parking on premises""]",822.0,0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10
unknown,within a day,f,Moo 7,797.0,t,Vadhana,Entire rental unit,2,1.0,"[""TV"", ""Refrigerator"", ""Wifi"", ""Hair dryer"", ""Safe"", ""Clothing storage"", ""Essentials"", ""Carbon monoxide alarm"", ""Iron"", ""Cleaning products"", ""Air conditioning"", ""Bed linens""]",2875.0,0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12
"Bangkok, Thailand",within an hour,f,other,17.0,t,Vadhana,Entire condo,3,1.0,"[""Dining table"", ""Electric stove"", ""Refrigerator"", ""Shower gel"", ""Body soap"", ""Elevator"", ""Paid dryer \u2013 In building"", ""Bidet"", ""Laundromat nearby"", ""Pets allowed"", ""Smoke alarm"", ""Drying rack for clothing"", ""Iron"", ""Cleaning products"", ""Room-darkening shades"", ""Bed linens"", ""Private patio or balcony"", ""Cleaning available during stay"", ""Sun loungers"", ""Hot water"", ""Portable fans"", ""City skyline view"", ""Wifi"", ""Lockbox"", ""Dedicated workspace"", ""Hair dryer"", ""Shared outdoor pool - available all year, open 24 hours, infinity, rooftop"", ""Shared sauna"", ""Shampoo"", ""Free washer \u2013 In unit"", ""Clothing storage: wardrobe"", ""Exercise equipment"", ""Microwave"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""Single level home"", ""Pool table"", ""55 inch HDTV with Netflix, standard cable"", ""Pool view"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Freezer"", ""Hangers"", ""Shared gym in building"", ""Ethernet connection"", ""Hot water kettle"", ""Shared hot tub - available all year, open 24 hours"", ""Smoking allowed"", ""Cooking basics"", ""Essentials"", ""Self check-in"", ""AC - split type ductless system"", ""Kitchen""]",1337.0,6,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.29,58
"Bangkok, Thailand",within an hour,t,other,8.0,t,Khlong Toei,Entire home,6,3.0,"[""TV"", ""Wifi"", ""Dedicated workspace"", ""Washer"", ""Outdoor dining area"", ""Smoking allowed"", ""Pets allowed"", ""Fire extinguisher"", ""First aid kit"", ""Air conditioning"", ""Free parking on premises"", ""Kitchen""]",6043.0,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.28,12
"Bangkok, Thailand",within an hour,f,other,66.0,t,Bang Phlat,Entire rental unit,2,1.0,"[""Wifi"", ""Pool table"", ""Washer"", ""Pool"", ""Smoke alarm"", ""Air conditioning""]",1080.0,5,4.8,4.8,4.6,5.0,4.8,4.6,4.4,0.38,6
"Bangkok, Thailand",N/A,f,other,6.0,t,Lat Krabang,Entire home,12,4.0,"[""Exterior security cameras on property"", ""TV"", ""Hot tub"", ""Wifi"", ""Dedicated workspace"", ""Washer"", ""Pool"", ""Fire extinguisher"", ""Air conditioning"", ""Free parking on premises"", ""Kitchen""]",6320.0,0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11
"Bangkok, Thailand",within an hour,f,other,48.0,t,Huai Khwang,Entire rental unit,3,1.0,"[""Dining table"", ""Paid parking garage off premises"", ""Luggage dropoff allowed"", ""Stove"", ""Refrigerator"", ""Shower gel"", ""Body soap"", ""Heating"", ""Elevator"", ""Outdoor shower"", ""Outdoor playground"", ""Shared backyard \u2013 Fully fenced"", ""Laundromat nearby"", ""Smoke alarm"", ""Fire extinguisher"", ""Drying rack for clothing"", ""Iron"", ""Cleaning products"", ""Room-darkening shades"", ""Bed linens"", ""Cleaning available during stay"", ""Central air conditioning"", ""Sun loungers"", ""Hot water"", ""Baby safety gates"", ""Wifi"", ""City skyline view"", ""Conditioner"", ""Resort access"", ""Lockbox"", ""Dedicated workspace"", ""Children\u2019s dinnerware"", ""Hair dryer"", ""Shampoo"", ""Free washer \u2013 In unit"", ""Indoor fireplace"", ""Garden view"", ""Microwave"", ""Oven"", ""Extra pillows and blankets"", ""Table corner guards"", ""Dishes and silverware"", ""Dryer"", ""Pool table"", ""Outdoor dining area"", ""Self check-in"", ""Window guards"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Freezer"", ""TV"", ""Hangers"", ""Mini fridge"", ""Shared outdoor pool - available all year, open specific hours, infinity"", ""Crib"", ""Shared gym in building"", ""Ethernet connection"", ""Hot water kettle"", ""Clothing storage"", ""Cooking basics"", ""Wine glasses"", ""Essentials"", ""Rice maker"", ""Ping pong table"", ""First aid kit"", ""Kitchen""]",1287.0,0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,68
"Bangkok, Thailand",within an hour,t,other,43.0,t,Huai Khwang,Entire rental unit,3,1.0,"[""Dining table"", ""Paid parking garage off premises"", ""Luggage dropoff allowed"", ""Window AC unit"", ""Refrigerator"", ""Shower gel"", ""Body soap"", ""Babysitter recommendations"", ""Heating"", ""Elevator"", ""Outdoor shower"", ""Outdoor playground"", ""Smart lock"", ""Shared backyard \u2013 Fully fenced"", ""Laundromat nearby"", ""Paid dryer \u2013 In unit"", ""Smoke alarm"", ""Fire extinguisher"", ""Drying rack for clothing"", ""Iron"", ""Cleaning products"", ""Room-darkening shades"", ""Bed linens"", ""Private entrance"", ""Cleaning available during stay"", ""Sun loungers"", ""Hot water"", ""Portable fans"", ""City skyline view"", ""Conditioner"", ""Fireplace guards"", ""Wifi"", ""Dedicated workspace"", ""Hair dryer"", ""Shampoo"", ""Free street parking"", ""Free washer \u2013 In unit"", ""Garden view"", ""Microwave"", ""Climbing wall"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""Oven"", ""Free resort access"", ""Outdoor dining area"", ""Self check-in"", ""Trash compactor"", ""Exercise equipment: elliptical, yoga mat"", ""Window guards"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Freezer"", ""TV"", ""Hangers"", ""Mini fridge"", ""Shared outdoor pool - available all year, open specific hours, infinity"", ""Crib"", ""Shared gym in building"", ""Ethernet connection"", ""Hot water kettle"", ""Clothing storage"", ""LG stainless steel induction stove"", ""Books and reading material"", ""Theme room"", ""Cooking basics"", ""Essentials"", ""Rice maker"", ""Table corner guards"", ""First aid kit"", ""Kitchen""]",1502.0,28,4.96,4.86,4.79,4.89,4.96,4.79,4.93,1.35,73
unknown,within a day,f,Moo 7,797.0,t,Vadhana,Entire rental unit,2,1.0,"[""TV"", ""Refrigerator"", ""Wifi"", ""Hair dryer"", ""Safe"", ""Clothing storage"", ""Essentials"", ""Carbon monoxide alarm"", ""Iron"", ""Cleaning products"", ""Air conditioning"", ""Bed linens""]",2875.0,0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12
"Bangkok, Thailand",within an hour,f,other,40.0,t,Huai Khwang,Entire rental unit,2,1.0,"[""Dining table"", ""Stove"", ""Refrigerator"", ""Shower gel"", ""Elevator"", ""Smart lock"", ""Washer"", ""EV charger"", ""Smoke alarm"", ""Iron"", ""Air conditioning"", ""Room-darkening shades"", ""Hot water"", ""Wifi"", ""Dedicated workspace"", ""Hair dryer"", ""Shampoo"", ""Exercise equipment"", ""Microwave"", ""Dishes and silverware"", ""Dryer"", ""Gym"", ""Pool table"", ""Free parking on premises"", ""TV"", ""Hangers"", ""Hot water kettle"", ""Clothing storage"", ""Pool"", ""Cooking basics"", ""Essentials"", ""Self check-in"", ""Kitchen""]",1565.0,2,4.5,4.5,4.5,4.5,4.5,5.0,5.0,0.12,33
"Bangkok, Thailand",within an hour,t,Din Daeng/Huai Khwang,4.0,t,Vadhana,Entire condo,4,2.0,"[""Bathtub"", ""Dining table"", ""Luggage dropoff allowed"", ""Shower gel"", ""Body soap"", ""Babysitter recommendations"", ""Shared indoor pool - available all year, open specific hours, heated, infinity, lap pool"", ""Elevator"", ""Arcade games"", ""Paid crib - available upon request"", ""55 inch HDTV with Netflix, Chromecast"", ""EV charger"", ""Smoke alarm"", ""Fire extinguisher"", ""Drying rack for clothing"", ""Iron"", ""Cleaning products"", ""Bed linens"", ""Cleaning available during stay"", ""Central air conditioning"", ""Sun loungers"", ""Hot water"", ""Toaster"", ""City skyline view"", ""Dedicated workspace"", ""Movie theater"", ""Children\u2019s dinnerware"", ""Hair dryer"", ""Shampoo"", ""Shared backyard \u2013 Not fully fenced"", ""Exercise equipment"", ""Free washer \u2013 In unit"", ""Microwave"", ""Dishes and silverware"", ""Single level home"", ""Pool table"", ""Fast wifi \u2013 310 Mbps"", ""Self check-in"", ""Trash compactor"", ""Private hot tub - available all year, open 24 hours"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Freezer"", ""Clothing storage: dresser"", ""Hangers"", ""Coffee maker: Nespresso"", ""Shared gym in building"", ""Free dryer \u2013 In unit"", ""Hot water kettle"", ""Smeg stainless steel single oven"", ""Building staff"", ""Daikin conditioner"", ""Books and reading material"", ""Theme room"", ""Cooking basics"", ""Smeg electric stove"", ""Essentials"", ""Rice maker"", ""Smeg refrigerator"", ""First aid kit"", ""Kitchen""]",5347.0,22,4.95,4.91,4.82,5.0,5.0,5.0,4.91,1.39,67
