host_location,host_response_time,host_is_superhost,host_neighbourhood,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,property_type,accommodates,bedrooms,amenities,price,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,amenities_count
"Bangkok, Thailand",within an hour,t,Bangkok Yai,8.0,f,Phasi Charoen,Entire home,4,1.0,"[""Dishes and silverware"", ""Hangers"", ""Single level home"", ""Hot water"", ""Refrigerator"", ""Wifi"", ""Heating"", ""Host greets you"", ""Dedicated workspace"", ""Breakfast"", ""Patio or balcony"", ""Hair dryer"", ""TV with standard cable"", ""Shampoo"", ""Essentials"", ""Microwave"", ""Air conditioning""]",1740.0,135,4.9,4.95,4.9,4.92,4.92,4.74,4.7,0.93,17
Canada,within an hour,t,Sathorn,7.0,t,Sathon,Entire condo,2,1.0,"[""Electric stove"", ""Refrigerator"", ""Elevator"", ""Host greets you"", ""32 inch TV with standard cable"", ""Portable air conditioning"", ""Shared outdoor pool - available all year, open specific hours"", ""Fire extinguisher"", ""Smoke alarm"", ""Iron"", ""Bed linens"", ""Hot water"", ""Wifi"", ""Shared patio or balcony"", ""Hair dryer"", ""Shampoo"", ""Free washer \u2013 In unit"", ""Microwave"", ""Dishes and silverware"", ""Paid parking on premises"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Hangers"", ""Cooking basics"", ""Essentials"", ""Kitchen""]",977.0,551,4.81,4.87,4.88,4.89,4.9,4.66,4.77,3.82,27
"Bangkok, Thailand",within an hour,f,Sathorn,7.0,t,Sathon,Private room in rental unit,2,1.0,"[""Dryer"", ""Wifi"", ""Elevator"", ""Washer"", ""TV with standard cable"", ""Air conditioning"", ""Free parking on premises"", ""Kitchen""]",2278.0,0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8
"Bangkok, Thailand",within an hour,f,Sathorn,7.0,t,Sathon,Private room in rental unit,2,1.0,"[""Dryer"", ""Shower gel"", ""Wifi"", ""Elevator"", ""Washer"", ""Hair dryer"", ""TV with standard cable"", ""Shampoo"", ""Air conditioning"", ""Free parking on premises"", ""Bed linens""]",1472.0,4,4.75,4.5,5.0,5.0,5.0,4.75,4.75,0.03,11
"Bangkok, Thailand",within a few hours,f,Thawi Watthana,6.0,t,Thawi Watthana,Private room in rental unit,4,1.0,"[""Luggage dropoff allowed"", ""Refrigerator"", ""Patio or balcony"", ""Fire extinguisher"", ""Air conditioning"", ""Bed linens"", ""Hot water"", ""Wifi"", ""Breakfast"", ""Shampoo"", ""Free street parking"", ""Keypad"", ""Gym"", ""Long term stays allowed"", ""Free parking on premises"", ""Hangers"", ""Ethernet connection"", ""Lock on bedroom door"", ""Pool"", ""Essentials"", ""Self check-in"", ""First aid kit""]",3500.0,0,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22
"Bangkok, Thailand",within a few hours,f,Thawi Watthana,6.0,t,Thawi Watthana,Private room in rental unit,2,1.0,"[""Luggage dropoff allowed"", ""Refrigerator"", ""Shower gel"", ""32 inch TV with standard cable"", ""Bidet"", ""Laundromat nearby"", ""Free driveway parking on premises \u2013 5 spaces"", ""Fire extinguisher"", ""Private patio or balcony"", ""Drying rack for clothing"", ""Air conditioning"", ""Hot water"", ""Wifi"", ""Breakfast"", ""Private outdoor pool - available all year, open specific hours, saltwater"", ""Shampoo"", ""Free street parking"", ""Keypad"", ""Exterior security cameras on property"", ""Gym"", ""Long term stays allowed"", ""Hangers"", ""Ethernet connection"", ""Lock on bedroom door"", ""Essentials"", ""Self check-in"", ""First aid kit""]",1100.0,4,5.0,5.0,5.0,4.75,5.0,4.75,5.0,0.14,29
"Bangkok, Thailand",within a few hours,f,Thawi Watthana,6.0,t,Thawi Watthana,Private room in rental unit,2,1.0,"[""Luggage dropoff allowed"", ""Refrigerator"", ""Shower gel"", ""Body soap"", ""Outdoor playground"", ""Laundromat nearby"", ""Fire extinguisher"", ""Drying rack for clothing"", ""Private patio or balcony"", ""Air conditioning"", ""Shared pool"", ""Bed linens"", ""Cleaning available during stay"", ""Sun loungers"", ""Hot water"", ""Wifi"", ""Breakfast"", ""Shampoo"", ""Shared backyard \u2013 Not fully fenced"", ""Free street parking"", ""Microwave"", ""Keypad"", ""Long term stays allowed"", ""Clothing storage: closet"", ""Free parking on premises"", ""Freezer"", ""Hangers"", ""Ethernet connection"", ""Hot water kettle"", ""Lock on bedroom door"", ""Essentials"", ""Self check-in"", ""First aid kit"", ""Kitchen""]",1177.0,1,3.0,2.0,4.0,4.0,4.0,2.0,2.0,0.05,34
"Bangkok, Thailand",N/A,t,other,2.0,t,Khlong Toei,Entire rental unit,4,2.0,"[""Dishes and silverware"", ""Refrigerator"", ""Gym"", ""Wifi"", ""Elevator"", ""Host greets you"", ""Washer"", ""Cooking basics"", ""TV with standard cable"", ""Essentials"", ""Smoke alarm"", ""Shared pool"", ""Air conditioning"", ""Free parking on premises"", ""Kitchen""]",2186.0,74,4.62,4.69,4.58,4.69,4.82,4.54,4.57,0.46,15
"Bangkok, Thailand",within an hour,f,Ratchathewi/Phaya Thai,1.0,t,Ratchathewi,Entire condo,2,1.0,"[""Dining table"", ""Luggage dropoff allowed"", ""Stove"", ""Refrigerator"", ""Elevator"", ""Host greets you"", ""Shared backyard \u2013 Fully fenced"", ""Smoke alarm"", ""Iron"", ""Shared pool"", ""Room-darkening shades"", ""Bed linens"", ""Hot water"", ""Wifi"", ""City skyline view"", ""Dedicated workspace"", ""Hair dryer"", ""Shampoo"", ""Microwave"", ""Dishes and silverware"", ""Bread maker"", ""Essentials"", ""Trash compactor"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Freezer"", ""Hangers"", ""Blender"", ""Shared gym in building"", ""HDTV with standard cable, DVD player"", ""Hot water kettle"", ""Clothing storage"", ""Books and reading material"", ""Cooking basics"", ""Wine glasses"", ""AC - split type ductless system"", ""Kitchen""]",841.0,96,4.92,4.99,4.96,4.96,4.97,4.77,4.86,0.63,39
"Bangkok, Thailand",within an hour,f,Sathorn,79.0,t,Sathon,Entire rental unit,1,1.0,"[""Dining table"", ""Luggage dropoff allowed"", ""Body soap"", ""Paid dryer \u2013 In building"", ""Bidet"", ""Portable air conditioning"", ""Laundromat nearby"", ""Smoke alarm"", ""Fire extinguisher"", ""Drying rack for clothing"", ""Cleaning products"", ""Private entrance"", ""Room-darkening shades"", ""Bed linens"", ""Paid parking lot off premises"", ""Cleaning available during stay"", ""Hot water"", ""Portable fans"", ""Paid washer \u2013 In building"", ""Lockbox"", ""Dedicated workspace"", ""Hair dryer"", ""Shampoo"", ""Free street parking"", ""Microwave"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""Fast wifi \u2013 173 Mbps"", ""Xiaomi induction stove"", ""Self check-in"", ""Window guards"", ""Clothing storage: closet"", ""Courtyard view"", ""Carbon monoxide alarm"", ""Long term stays allowed"", ""Free parking on premises"", ""Hangers"", ""Portable heater"", ""Mini fridge"", ""Hot water kettle"", ""Cooking basics"", ""Essentials"", ""Rice maker"", ""First aid kit"", ""Kitchen""]",900.0,433,4.61,4.73,4.59,4.86,4.88,4.6,4.7,2.74,45
"Bangkok, Thailand",within a few hours,t,Thonburi,3.0,t,Khlong San,Entire rental unit,3,2.0,"[""Hangers"", ""Dryer"", ""Wifi"", ""Gym"", ""Elevator"", ""Host greets you"", ""Washer"", ""Hair dryer"", ""Pool"", ""TV with standard cable"", ""Shampoo"", ""Essentials"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Iron"", ""Air conditioning"", ""Free parking on premises"", ""Kitchen""]",1514.0,81,4.79,4.82,4.74,4.66,4.75,4.75,4.71,0.52,18
"New York, NY",within a few hours,f,other,14.0,t,Khlong Toei,Entire condo,4,0.0,"[""Dining table"", ""Luggage dropoff allowed"", ""Refrigerator"", ""Elevator"", ""Laundromat nearby"", ""Fire extinguisher"", ""Smoke alarm"", ""Iron"", ""Cleaning products"", ""Cleaning available during stay"", ""Hot water"", ""Wifi"", ""City skyline view"", ""Toaster"", ""Lockbox"", ""Hair dryer"", ""Shampoo"", ""Microwave"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""Single level home"", ""Induction stove"", ""Essentials"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Hangers"", ""Ethernet connection"", ""Hot water kettle"", ""Cooking basics"", ""TV with standard cable"", ""AC - split type ductless system"", ""Self check-in"", ""First aid kit"", ""Kitchen""]",757.0,221,4.57,4.72,4.45,4.75,4.75,4.67,4.67,1.41,35
"Bangkok, Thailand",within an hour,f,Sathorn,79.0,t,Sathon,Entire rental unit,3,0.0,"[""Dining table"", ""Luggage dropoff allowed"", ""Body soap"", ""Mosquito net"", ""Outdoor furniture"", ""Paid dryer \u2013 In building"", ""Bidet"", ""Portable air conditioning"", ""Laundromat nearby"", ""Smoke alarm"", ""Fire extinguisher"", ""Private patio or balcony"", ""Cleaning products"", ""Private entrance"", ""Room-darkening shades"", ""Bed linens"", ""Paid parking lot off premises"", ""Cleaning available during stay"", ""Hot water"", ""Portable fans"", ""City skyline view"", ""Paid washer \u2013 In building"", ""Fast wifi \u2013 86 Mbps"", ""Lockbox"", ""Dedicated workspace"", ""Hair dryer"", ""Shampoo"", ""Free street parking"", ""Extra pillows and blankets"", ""Long term stays allowed"", ""Courtyard view"", ""Carbon monoxide alarm"", ""Free parking on premises"", ""Hangers"", ""Portable heater"", ""Mini fridge"", ""Hot water kettle"", ""Safe"", ""Essentials"", ""Self check-in"", ""First aid kit"", ""Ski-in/ski-out \u2013 on a ski run""]",950.0,480,4.53,4.58,4.56,4.78,4.84,4.57,4.61,3.12,42
"Bangkok, Thailand",within a few hours,t,Silom,9.0,t,Sathon,Private room in rental unit,2,1.0,"[""Elevator"", ""Washer"", ""Iron"", ""Private entrance"", ""Air conditioning"", ""Bed linens"", ""Wifi"", ""Hair dryer"", ""Shampoo"", ""Microwave"", ""Dryer"", ""Long term stays allowed"", ""Free parking on premises"", ""TV"", ""Hangers"", ""Lock on bedroom door"", ""Building staff"", ""Essentials"", ""Self check-in"", ""Kitchen""]",1354.0,47,4.62,4.66,4.74,4.91,4.91,4.66,4.62,0.3,20
"Bangkok, Thailand",within an hour,f,other,1.0,t,Vadhana,Entire rental unit,6,2.0,"[""Stove"", ""Refrigerator"", ""Elevator"", ""Host greets you"", ""Washer"", ""Patio or balcony"", ""Smoke alarm"", ""Air conditioning"", ""Wifi"", ""Dedicated workspace"", ""Hair dryer"", ""Shampoo"", ""Oven"", ""Microwave"", ""Private hot tub"", ""Dishes and silverware"", ""Gym"", ""Long term stays allowed"", ""Free parking on premises"", ""Hangers"", ""Pool"", ""Cooking basics"", ""TV with standard cable"", ""Essentials"", ""Kitchen""]",3633.0,14,4.75,4.93,4.93,5.0,5.0,4.86,4.86,0.09,25
